epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,19.704418182373047,,
0,,9,,,,,5.090849876403809,,
0,,14,,,,,6.836332321166992,,
0,,19,,,,,7.134697914123535,,
0,,24,,,,,6.85528564453125,,
0,,29,,,,,6.091898441314697,,
0,,34,,,,,4.822566032409668,,
0,,39,,,,,5.584334373474121,,
0,,44,,,,,4.110668182373047,,
0,,49,,,,,4.494519233703613,,
0,,54,,,,,4.240361213684082,,
0,,59,,,,,4.368135452270508,,
0,,64,,,,,4.168609142303467,,
0,,69,,,,,3.919548511505127,,
0,,74,,,,,3.9118852615356445,,
0,,79,,,,,4.215085029602051,,
0,,84,,,,,4.107107162475586,,
0,,89,,,,,3.891378402709961,,
0,,94,,,,,4.308383941650391,,
0,,99,,,,,4.037448883056641,,
0,,104,,,,,3.973609685897827,,
0,,109,,,,,3.9667937755584717,,
0,,114,,,,,3.957789897918701,,
0,,119,,,,,4.00770378112793,,
0,,124,,,,,4.0499587059021,,
0,,129,,,,,4.097203254699707,,
0,,134,,,,,4.099214553833008,,
0,,139,,,,,4.038425445556641,,
0,,144,,,,,3.957906484603882,,
0,,149,,,,,3.9355268478393555,,
0,,154,,,,,4.012290954589844,,
0,,157,,,,9.896122932434082,,29.536890029907227,33.81842803955078
1,7.9679718017578125,158,4258468.0,26.62087059020996,30.979433059692383,,,,
