epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,18.535118103027344,,
0,,9,,,,,5.081559181213379,,
0,,14,,,,,6.581117630004883,,
0,,19,,,,,7.216614246368408,,
0,,24,,,,,7.357922077178955,,
0,,29,,,,,7.028659343719482,,
0,,34,,,,,6.683152198791504,,
0,,39,,,,,5.969389915466309,,
0,,44,,,,,4.846345901489258,,
0,,49,,,,,5.226795673370361,,
0,,54,,,,,4.311465263366699,,
0,,59,,,,,4.175074577331543,,
0,,64,,,,,4.207212448120117,,
0,,69,,,,,4.154998779296875,,
0,,74,,,,,4.10822057723999,,
0,,79,,,,,4.275504112243652,,
0,,84,,,,,4.128447532653809,,
0,,89,,,,,4.154692649841309,,
0,,94,,,,,4.166866302490234,,
0,,99,,,,,4.048037528991699,,
0,,104,,,,,4.147076606750488,,
0,,109,,,,,4.063150882720947,,
0,,114,,,,,4.042485237121582,,
0,,119,,,,,4.0622148513793945,,
0,,124,,,,,4.217421054840088,,
0,,129,,,,,4.136897087097168,,
0,,134,,,,,4.084141731262207,,
0,,139,,,,,4.055398464202881,,
0,,144,,,,,3.9938528537750244,,
0,,146,,,,13.77755069732666,,33.12765884399414,37.297462463378906
1,6.0787811279296875,147,41098.1875,30.720720291137695,34.82291030883789,,,,
