epoch,nll,step,test_loss,test_mae,test_rmse,train_loss_epoch,train_loss_step,train_mae_epoch,train_rmse_epoch
0,,4,,,,,30.656299591064453,,
0,,9,,,,,4.724063873291016,,
0,,14,,,,,5.930643558502197,,
0,,19,,,,,6.373425483703613,,
0,,24,,,,,6.43734073638916,,
0,,29,,,,,6.038604259490967,,
0,,34,,,,,5.35468864440918,,
0,,39,,,,,4.8073272705078125,,
0,,44,,,,,4.503274917602539,,
0,,49,,,,,4.447768211364746,,
0,,54,,,,,4.4095354080200195,,
0,,59,,,,,4.2319183349609375,,
0,,64,,,,,4.332489967346191,,
0,,69,,,,,4.2072553634643555,,
0,,74,,,,,4.281251430511475,,
0,,79,,,,,4.114579200744629,,
0,,84,,,,,4.11208963394165,,
0,,89,,,,,4.062410354614258,,
0,,94,,,,,4.060439109802246,,
0,,99,,,,,4.011622905731201,,
0,,104,,,,,4.08527135848999,,
0,,109,,,,,4.024221420288086,,
0,,114,,,,,4.117612838745117,,
0,,119,,,,,3.9017677307128906,,
0,,124,,,,,4.207601547241211,,
0,,129,,,,,3.938218593597412,,
0,,134,,,,,3.9928112030029297,,
0,,139,,,,,4.194326400756836,,
0,,144,,,,,4.320117950439453,,
0,,149,,,,,3.998274803161621,,
0,,154,,,,,4.0734052658081055,,
0,,159,,,,,3.881956100463867,,
0,,164,,,,,4.144275188446045,,
0,,166,,,,11.7449312210083,,30.48564910888672,34.60569381713867
1,5.728839874267578,167,14643.0224609375,29.96696662902832,34.13727569580078,,,,
